"","Gender","Ever_Married","Age","Graduated","Spending_Score","Family_Size"
"300","Male","No",19,"No","Low",4
"301","Male","Yes",70,"Yes","High",2
"302","Male","Yes",89,"Yes","Low",1
"303","Male","No",18,"No","Low",4
"304","Male","No",25,"Yes","Low",1
"305","Female","No",45,"Yes","Low",1
"306","Female","No",35,"Yes","Low",1
"307","Female","Yes",37,"No","Low",1
"308","Female","Yes",39,"No","Average",2
"309","Female","No",32,"Yes","Low",5
"310","Female","Yes",62,"Yes","Average",3
"311","Female","Yes",58,"Yes","Average",4
"312","Female","No",32,"No","Low",4
"313","Male","No",25,"No","Low",5
"314","Female","Yes",56,"Yes","Average",4
"315","Female","No",36,"Yes","Low",2
"316","Female","No",30,"No","Low",3
"317","Male","No",19,"No","Low",5
"318","Male","No",27,"Yes","Low",2
"319","Female","No",38,"Yes","Low",1
"320","Male","Yes",46,"Yes","Average",2
"321","Male","No",29,"Yes","Low",1
"322","Male","Yes",51,"No","Average",4
"323","Male","Yes",55,"No","Low",1
"324","Female","Yes",69,"Yes","Low",1
"325","Female","No",26,"No","Low",8
"326","Female","Yes",83,"Yes","Low",3
"327","Female","No",39,"Yes","Low",1
"328","Male","Yes",35,"Yes","Low",1
"329","Male","Yes",19,"No","High",5
"330","Female","Yes",60,"Yes","High",4
"331","Male","Yes",35,"Yes","Average",4
"332","Female","No",53,"Yes","Low",1
"333","Female","No",29,"No","Low",3
"334","Female","No",26,"No","Low",1
"335","Male","No",36,"Yes","Low",1
"336","Female","No",22,"No","Low",4
"337","Male","No",19,"No","Low",5
"338","Female","Yes",20,"Yes","Average",3
"339","Male","No",43,"Yes","Low",3
"340","Female","No",42,"Yes","Low",3
"341","Male","No",43,"Yes","Low",2
"342","Female","Yes",50,"Yes","High",3
"343","Male","No",25,"Yes","Low",2
"344","Male","Yes",61,"No","High",2
"345","Female","Yes",28,"Yes","Average",2
"346","Male","No",38,"Yes","Low",1
"347","Male","No",25,"No","Low",3
"348","Female","No",18,"No","Low",5
"349","Male","Yes",43,"Yes","Average",5
"350","Female","No",27,"Yes","Low",1
"351","Female","No",60,"Yes","Low",2
"352","Male","Yes",75,"Yes","Low",1
"353","Female","No",31,"No","Low",4
"354","Male","No",23,"No","Low",4
"355","Male","No",36,"Yes","Low",1
"356","Male","No",30,"No","Low",1
"357","Male","Yes",56,"No","Average",2
"358","Female","Yes",52,"Yes","Low",2
"359","Male","Yes",39,"Yes","Low",1
"360","Female","No",35,"No","Low",1
"361","Male","Yes",33,"No","Average",2
"362","Female","No",25,"Yes","Low",6
"363","Female","Yes",27,"Yes","Average",2
"364","Male","Yes",35,"Yes","High",3
"365","Female","Yes",41,"Yes","Average",2
"366","Female","Yes",49,"Yes","Average",3
"367","Female","Yes",46,"No","Average",2
"368","Female","No",31,"No","Low",2
"369","Male","No",49,"Yes","Low",1
"370","Female","No",26,"Yes","Low",1
"371","Male","Yes",43,"Yes","High",2
"372","Female","Yes",30,"Yes","Low",4
"373","Female","Yes",70,"Yes","Average",4
"374","Female","No",28,"Yes","Low",1
"375","Female","Yes",89,"No","High",1
"376","Female","Yes",42,"No","High",4
"377","Female","Yes",37,"Yes","Average",3
"378","Male","Yes",29,"No","Average",3
"379","Female","Yes",68,"Yes","High",2
"380","Female","No",25,"No","Low",1
"381","Female","Yes",48,"Yes","Low",2
"382","Female","Yes",51,"Yes","Average",3
"383","Female","Yes",40,"Yes","High",5
"384","Male","Yes",47,"Yes","Average",6
"385","Male","Yes",39,"Yes","High",3
"386","Male","Yes",35,"Yes","Average",4
"387","Female","No",19,"No","Low",3
"388","Male","Yes",46,"Yes","Average",3
"389","Male","Yes",86,"Yes","Low",1
"390","Male","Yes",66,"Yes","High",2
"391","Male","No",42,"No","Low",5
"392","Female","Yes",73,"Yes","High",2
"393","Male","Yes",72,"No","Low",1
"394","Male","Yes",53,"Yes","Low",3
"395","Female","Yes",39,"Yes","Average",2
"396","Female","No",27,"No","Low",1
"397","Female","No",23,"No","Low",3
"398","Female","No",30,"Yes","Low",4
"399","Female","Yes",39,"Yes","Average",2
"400","Male","Yes",26,"Yes","Average",3
"401","Female","Yes",50,"Yes","Low",3
"402","Female","Yes",45,"Yes","Average",2
"403","Female","No",62,"No","Low",1
"404","Female","No",27,"Yes","Low",3
"405","Female","Yes",30,"No","Average",7
"406","Male","No",32,"No","Low",4
"407","Male","No",47,"No","Low",3
"408","Female","No",32,"Yes","Low",4
"409","Female","Yes",32,"No","Low",3
"410","Male","Yes",67,"Yes","Average",4
"411","Female","Yes",77,"Yes","High",2
"412","Male","Yes",79,"No","Average",2
"413","Male","No",31,"No","Low",1
"414","Male","Yes",42,"Yes","Low",3
"415","Female","No",18,"No","Low",6
"416","Male","Yes",50,"Yes","Average",4
"417","Male","Yes",71,"Yes","Average",5
"418","Female","Yes",72,"No","Low",3
"419","Male","Yes",47,"Yes","Low",3
"420","Male","Yes",45,"Yes","Average",2
"421","Female","No",40,"No","Low",5
"422","Female","No",36,"Yes","Low",1
"423","Female","No",42,"Yes","Low",1
"424","Male","No",30,"No","Low",4
"425","Female","No",29,"Yes","Low",4
"426","Male","No",28,"Yes","Low",5
"427","Male","Yes",85,"No","Low",1
"428","Female","Yes",40,"Yes","Average",2
"429","Female","Yes",52,"Yes","Average",2
"430","Male","No",26,"No","Low",6
"431","Female","No",55,"Yes","Low",1
"432","Female","No",20,"No","Low",4
"433","Female","Yes",87,"Yes","High",2
"434","Male","No",28,"No","Low",2
"435","Male","No",38,"No","Low",2
"436","Male","Yes",42,"No","Low",2
"437","Male","Yes",42,"No","High",6
"438","Female","No",29,"No","Low",4
"439","Male","No",32,"Yes","Low",4
"440","Male","Yes",38,"No","High",5
"441","Female","Yes",59,"No","High",2
"442","Male","No",22,"No","Low",2
"443","Female","Yes",78,"Yes","High",2
"444","Female","No",32,"Yes","Low",3
"445","Male","Yes",37,"Yes","Average",4
"446","Male","Yes",37,"Yes","High",4
"447","Male","No",67,"No","Low",2
"448","Male","Yes",47,"No","High",4
"449","Female","Yes",68,"Yes","High",2
"450","Male","No",30,"Yes","Low",5
"451","Female","Yes",48,"Yes","Low",1
"452","Female","No",43,"Yes","Low",1
"453","Male","Yes",33,"Yes","Low",2
"454","Male","Yes",31,"No","Average",5
"455","Male","Yes",32,"Yes","Low",2
"456","Female","No",21,"No","Low",4
"457","Female","No",29,"No","Low",4
"458","Female","Yes",35,"Yes","Low",2
"459","Male","Yes",46,"No","Low",3
"460","Female","Yes",38,"Yes","High",2
"461","Female","No",32,"Yes","Low",3
"462","Female","No",28,"Yes","Low",7
"463","Female","Yes",68,"Yes","Low",1
"464","Female","Yes",45,"Yes","Low",1
"465","Male","Yes",58,"Yes","Average",3
"466","Male","No",28,"No","Low",2
"467","Female","No",32,"No","Low",3
"468","Male","No",30,"Yes","Low",1
"469","Female","Yes",42,"No","Average",4
"470","Male","No",22,"No","Low",6
"471","Male","No",41,"Yes","Low",3
"472","Female","No",18,"No","Low",4
"473","Female","Yes",29,"Yes","Low",3
"474","Female","No",33,"Yes","Low",3
"475","Female","Yes",57,"Yes","Low",2
"476","Male","Yes",36,"Yes","Low",3
"477","Male","Yes",57,"Yes","High",3
"478","Male","No",18,"No","Low",2
"479","Male","Yes",52,"Yes","Average",6
"480","Female","Yes",37,"Yes","Average",2
"481","Male","No",36,"Yes","Low",1
"482","Female","No",29,"Yes","Low",3
"483","Male","Yes",45,"Yes","Average",4
"484","Male","No",61,"Yes","Low",1
"485","Male","Yes",52,"Yes","Average",4
"486","Female","Yes",49,"Yes","Low",1
"487","Male","Yes",40,"Yes","Average",2
"488","Female","No",31,"No","Low",5
"489","Male","Yes",42,"No","Low",3
"490","Male","Yes",51,"Yes","Average",5
"491","Female","No",42,"Yes","Low",1
"492","Male","No",29,"Yes","Low",4
"493","Female","No",33,"Yes","Low",1
"494","Male","No",27,"Yes","Low",3
"495","Female","No",21,"No","Low",4
"496","Male","Yes",35,"No","Average",3
"497","Female","No",42,"Yes","Low",1
"498","Female","No",41,"Yes","Low",1
"499","Male","No",39,"Yes","Low",3
"500","Female","No",28,"No","Low",1
"501","Female","Yes",61,"Yes","Average",2
"502","Male","Yes",62,"Yes","Average",4
"503","Male","Yes",65,"Yes","Average",2
"504","Male","Yes",45,"Yes","Average",2
"505","Female","Yes",26,"Yes","Low",2
"506","Female","No",25,"Yes","Low",5
"507","Female","Yes",45,"Yes","Average",4
"508","Male","Yes",43,"No","High",4
"509","Male","Yes",49,"Yes","High",3
"510","Male","Yes",55,"Yes","Average",2
"511","Female","No",37,"Yes","Low",1
"512","Male","Yes",65,"Yes","High",2
"513","Female","No",32,"No","Low",5
"514","Female","No",39,"No","Low",3
"515","Female","Yes",40,"Yes","Average",2
"516","Male","Yes",72,"Yes","Average",3
"517","Female","No",38,"No","Low",1
"518","Male","No",26,"No","Low",5
"519","Male","No",30,"Yes","Low",3
"520","Male","No",57,"Yes","Low",4
"521","Female","No",31,"Yes","Low",1
"522","Male","No",39,"Yes","Low",1
"523","Female","No",30,"No","Low",4
"524","Female","Yes",43,"No","Average",3
"525","Male","No",27,"Yes","Low",1
"526","Female","Yes",46,"No","Average",4
"527","Male","Yes",43,"No","Low",2
"528","Male","Yes",69,"Yes","Low",1
"529","Male","Yes",28,"No","Average",4
"530","Male","No",43,"Yes","Low",1
"531","Female","No",27,"No","Low",5
"532","Female","No",28,"Yes","Low",3
"533","Male","No",33,"No","Low",4
"534","Female","No",30,"No","Low",1
"535","Male","No",58,"No","Low",2
"536","Female","No",38,"Yes","Low",4
"537","Female","No",31,"Yes","Low",4
"538","Male","Yes",32,"No","Average",5
"539","Male","Yes",45,"Yes","Average",4
"540","Male","Yes",66,"Yes","Low",3
"541","Female","Yes",51,"Yes","Average",3
"542","Female","Yes",59,"Yes","Average",2
"543","Female","No",40,"Yes","Low",1
"544","Male","Yes",46,"Yes","Average",5
"545","Male","No",20,"No","Low",6
"546","Female","Yes",84,"No","High",2
"547","Female","No",41,"Yes","Low",1
"548","Male","Yes",51,"No","Average",3
"549","Male","Yes",57,"Yes","Average",5
"550","Female","No",33,"No","Low",1
"551","Male","No",25,"No","Low",3
"552","Male","Yes",55,"Yes","Average",3
"553","Female","Yes",56,"Yes","High",4
"554","Male","Yes",77,"Yes","Low",1
"555","Male","Yes",30,"Yes","Low",2
"556","Male","No",23,"No","Low",5
"557","Female","No",43,"Yes","Low",4
"558","Male","No",39,"Yes","Low",1
"559","Male","Yes",29,"No","High",2
"560","Male","Yes",37,"Yes","Low",2
"561","Female","Yes",45,"No","Low",2
"562","Male","Yes",48,"No","High",2
"563","Male","Yes",27,"No","Average",4
"564","Female","Yes",60,"No","Low",4
"565","Male","Yes",45,"Yes","Average",3
"566","Male","No",31,"Yes","Low",1
"567","Male","No",33,"No","Low",4
"568","Female","Yes",48,"Yes","Average",3
"569","Female","Yes",83,"No","Low",2
"570","Male","Yes",57,"Yes","Low",4
"571","Male","No",26,"Yes","Low",3
"572","Male","Yes",51,"Yes","Low",5
"573","Male","Yes",67,"No","High",1
"574","Male","Yes",38,"Yes","Average",2
"575","Female","No",40,"Yes","Low",1
"576","Female","Yes",45,"Yes","Average",2
"577","Male","Yes",48,"Yes","Average",4
"578","Female","Yes",69,"No","Average",2
"579","Male","No",21,"No","Low",5
"580","Female","No",18,"No","Low",3
"581","Male","Yes",72,"Yes","Low",3
"582","Male","Yes",85,"No","Low",1
"583","Female","No",21,"No","Low",5
"584","Female","Yes",48,"Yes","Low",1
"585","Male","No",28,"No","Low",5
"586","Male","Yes",55,"Yes","Low",2
"587","Female","No",56,"Yes","Low",2
"588","Male","Yes",50,"Yes","Low",2
"589","Male","No",21,"No","Low",4
"590","Male","No",18,"No","Low",6
"591","Male","Yes",68,"Yes","High",2
"592","Male","Yes",47,"Yes","Low",1
"593","Male","Yes",75,"No","High",2
"594","Male","Yes",50,"Yes","Average",4
"595","Male","No",31,"Yes","Low",4
"596","Female","No",30,"Yes","Low",3
"597","Female","Yes",41,"Yes","Low",4
"598","Female","Yes",35,"No","Low",1
"599","Male","Yes",37,"Yes","Low",1
"600","Male","Yes",50,"Yes","Average",3
"601","Male","Yes",36,"Yes","Average",2
"602","Female","No",26,"No","Low",3
"603","Male","Yes",62,"No","High",2
"604","Male","No",22,"No","Low",4
"605","Female","No",19,"No","Low",3
"606","Female","Yes",45,"Yes","Average",5
"607","Female","No",31,"No","Low",4
"608","Male","Yes",56,"Yes","Average",3
"609","Female","No",25,"Yes","Low",3
"610","Female","Yes",73,"Yes","Low",1
"611","Male","Yes",62,"Yes","Average",4
"612","Male","Yes",46,"No","Average",3
"613","Male","Yes",25,"Yes","High",2
"614","Male","No",27,"Yes","Low",2
"615","Male","Yes",87,"No","Low",2
"616","Female","Yes",47,"Yes","Low",1
"617","Male","Yes",57,"Yes","Average",4
"618","Male","Yes",60,"Yes","Average",4
"619","Male","Yes",40,"Yes","High",5
"620","Male","No",28,"Yes","Low",3
"621","Male","No",39,"Yes","Low",3
"622","Female","No",47,"Yes","Low",1
"623","Male","Yes",69,"Yes","Average",3
"624","Female","No",42,"Yes","Low",1
"625","Female","Yes",46,"Yes","Low",1
"626","Female","No",23,"No","Low",3
"627","Male","No",45,"Yes","Low",5
"628","Female","Yes",38,"Yes","Average",4
"629","Female","Yes",71,"No","High",3
"630","Female","No",26,"No","Low",2
"631","Female","Yes",60,"Yes","High",2
"632","Female","Yes",46,"Yes","Average",2
"633","Male","Yes",39,"Yes","Average",4
"634","Female","No",18,"No","Low",3
"635","Male","Yes",26,"Yes","Average",2
"636","Male","Yes",53,"Yes","High",2
"637","Male","Yes",40,"Yes","Average",2
"638","Male","Yes",76,"No","Low",7
"639","Male","Yes",26,"Yes","Average",3
"640","Female","Yes",65,"Yes","Average",2
"641","Female","No",37,"Yes","Low",2
"642","Male","No",25,"No","Low",4
"643","Female","No",21,"No","Low",5
"644","Female","No",25,"No","Low",4
"645","Male","No",23,"No","Low",5
"646","Female","No",30,"Yes","Low",6
"647","Female","No",30,"No","Low",4
"648","Male","Yes",42,"No","Average",4
"649","Female","Yes",81,"No","High",2
"650","Male","Yes",49,"Yes","Average",5
"651","Male","No",32,"No","Low",3
"652","Female","Yes",43,"Yes","Average",4
"653","Male","Yes",26,"No","High",4
"654","Female","No",67,"No","Low",2
"655","Male","Yes",88,"No","Low",1
"656","Female","No",40,"Yes","Low",4
"657","Male","No",18,"No","Low",3
"658","Male","Yes",39,"Yes","Average",3
"659","Male","Yes",61,"Yes","High",5
"660","Female","Yes",51,"Yes","High",4
"661","Female","Yes",25,"No","Average",2
"662","Male","No",35,"Yes","Low",3
"663","Male","Yes",46,"No","High",2
"664","Female","Yes",53,"No","High",3
"665","Male","Yes",48,"Yes","Low",1
"666","Male","Yes",75,"Yes","Low",2
"667","Male","No",23,"No","Low",3
"668","Male","No",29,"No","Low",2
"669","Male","Yes",46,"No","Low",2
"670","Female","No",61,"Yes","Low",1
"671","Female","No",37,"No","Low",1
"672","Female","No",23,"No","Low",5
"673","Male","No",21,"No","Low",8
"674","Female","No",33,"No","Low",4
"675","Male","No",41,"No","Low",2
"676","Female","Yes",58,"Yes","High",4
"677","Male","Yes",25,"Yes","Average",2
"678","Male","No",33,"No","Low",3
"679","Male","Yes",43,"No","Low",2
"680","Male","Yes",25,"No","Low",2
"681","Female","No",26,"No","Low",1
"682","Male","No",22,"No","Low",5
"683","Male","Yes",28,"No","Average",2
"684","Female","No",36,"Yes","Low",1
"685","Female","No",28,"No","Low",3
"686","Male","Yes",85,"Yes","High",4
"687","Male","Yes",43,"Yes","High",2
"688","Male","Yes",82,"No","High",2
"689","Female","No",18,"No","Low",3
